period,minutes_remaining,seconds_remaning,action_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_made_flag,game_date,HTM,opponent
0,1,11,25,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,26,99,249,0,20091028,GSW,HOU
1,1,9,31,Step Back Jump shot,Mid-Range,Left Side Center(LC),16-24 ft.,18,-122,145,1,20091028,GSW,HOU
2,1,6,2,Jump Shot,In The Paint (Non-RA),Center(C),8-16 ft.,14,-60,129,0,20091028,GSW,HOU
3,2,9,49,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,19,-172,82,0,20091028,GSW,HOU
4,2,2,19,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-68,148,0,20091028,GSW,HOU
5,2,0,34,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,15,0,20091028,GSW,HOU
6,4,10,26,Pullup Jump shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-64,149,1,20091028,GSW,HOU
7,4,6,31,Pullup Jump shot,Mid-Range,Right Side Center(RC),16-24 ft.,17,118,123,1,20091028,GSW,HOU
8,4,2,25,Pullup Jump shot,Mid-Range,Right Side Center(RC),16-24 ft.,20,121,162,1,20091028,GSW,HOU
9,4,1,47,Pullup Jump shot,Mid-Range,Left Side Center(LC),16-24 ft.,18,-125,134,1,20091028,GSW,HOU
10,4,0,29,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,-7,1,1,20091028,GSW,HOU
11,4,0,0,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,20091028,GSW,HOU
12,1,10,39,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,152,195,0,20091030,PHX,GSW
13,1,9,27,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,22,-81,205,1,20091030,PHX,GSW
14,2,1,28,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,20,125,162,1,20091030,PHX,GSW
15,2,1,0,Jump Shot,Above the Break 3,Center(C),24+ ft.,26,-76,250,1,20091030,PHX,GSW
16,3,8,35,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-158,-6,0,20091030,PHX,GSW
17,3,2,57,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091030,PHX,GSW
18,4,10,14,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091030,PHX,GSW
19,4,9,6,Jump Bank Shot,Mid-Range,Right Side(R),8-16 ft.,10,95,48,1,20091030,PHX,GSW
20,4,7,23,Jump Shot,Above the Break 3,Center(C),24+ ft.,24,1,247,1,20091030,PHX,GSW
21,1,9,30,Pullup Jump shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,127,216,1,20091104,GSW,MEM
22,1,6,6,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,0,20091104,GSW,MEM
23,1,1,49,Pullup Jump shot,Mid-Range,Right Side(R),16-24 ft.,18,154,108,1,20091104,GSW,MEM
24,1,0,55,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,56,14,0,20091104,GSW,MEM
25,2,11,11,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,0,258,0,20091104,GSW,MEM
26,3,4,54,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,1,-4,15,1,20091104,GSW,MEM
27,1,10,45,Jump Shot,Mid-Range,Right Side(R),16-24 ft.,18,179,44,0,20091106,GSW,LAC
