period,minutes_remaining,seconds_remaining,action_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_made_flag,game_date,season,playoffs,score,opponent
1,0,42,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,18,-140,116,0,19961103,1996-97,0,0,MIN
2,10,8,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-131,97,0,19961105,1996-97,0,0,NYK
2,8,37,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-142,181,1,19961106,1996-97,0,3,CHH
2,6,34,Jump Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961106,1996-97,0,0,CHH
2,5,27,Jump Shot,In The Paint (Non-RA),Center(C),8-16 ft.,13,-10,138,1,19961106,1996-97,0,2,CHH
2,7,18,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,19,75,177,0,19961108,1996-97,0,0,TOR
2,2,16,Jump Shot,Mid-Range,Center(C),16-24 ft.,23,-64,223,1,19961108,1996-97,0,3,TOR
3,3,25,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961108,1996-97,0,2,TOR
3,1,53,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,19,-79,177,0,19961108,1996-97,0,0,TOR
3,1,14,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-103,207,1,19961108,1996-97,0,3,TOR
3,0,2,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961108,1996-97,0,0,TOR
4,9,9,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-155,175,0,19961108,1996-97,0,0,TOR
4,8,36,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961108,1996-97,0,0,TOR
1,1,10,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961110,1996-97,0,0,ATL
2,10,3,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961110,1996-97,0,0,ATL
2,8,28,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-75,142,0,19961110,1996-97,0,0,ATL
2,6,24,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,18,-151,112,1,19961112,1996-97,0,2,HOU
2,3,11,Jump Shot,Right Corner 3,Right Side(R),24+ ft.,23,233,-1,0,19961112,1996-97,0,0,HOU
4,1,19,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961113,1996-97,0,2,SAS
4,0,6,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,188,140,1,19961113,1996-97,0,3,SAS
2,9,35,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-157,15,1,19961115,1996-97,0,2,LAC
2,9,2,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,155,188,0,19961115,1996-97,0,0,LAC
2,8,27,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961115,1996-97,0,0,LAC
2,7,13,Jump Shot,Mid-Range,Right Side(R),16-24 ft.,22,209,93,0,19961115,1996-97,0,0,LAC
2,7,0,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,179,164,1,19961117,1996-97,0,3,PHX
2,6,11,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,22,-226,30,0,19961117,1996-97,0,0,PHX
2,5,22,Jump Shot,Mid-Range,Center(C),16-24 ft.,23,62,229,1,19961117,1996-97,0,3,PHX
2,2,53,Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961117,1996-97,0,0,PHX
2,1,38,Jump Shot,Mid-Range,Center(C),16-24 ft.,22,-27,223,0,19961117,1996-97,0,0,PHX
3,0,43,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-170,155,1,19961117,1996-97,0,3,PHX
3,0,0,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961117,1996-97,0,2,PHX
4,0,6,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,138,188,1,19961117,1996-97,0,3,PHX
2,2,51,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,20,97,175,0,19961119,1996-97,0,0,GSW
2,0,1,Jump Shot,Right Corner 3,Right Side(R),24+ ft.,22,229,-7,0,19961119,1996-97,0,0,GSW
2,10,26,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,26,-151,212,1,19961120,1996-97,0,3,UTA
2,8,28,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,205,1,19961120,1996-97,0,3,UTA
2,4,41,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,12,-86,93,0,19961120,1996-97,0,0,UTA
4,1,53,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961120,1996-97,0,2,UTA
4,1,23,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,131,203,1,19961120,1996-97,0,3,UTA
1,2,28,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961126,1996-97,0,0,PHI
1,0,33,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,29,-155,251,0,19961126,1996-97,0,0,PHI
2,8,50,Jump Shot,Above the Break 3,Center(C),24+ ft.,26,3,264,0,19961126,1996-97,0,0,PHI
